decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return,avg_momentum,holding_return
2016-10,2016-10-03,2016-12-01,2016-10-03,104,81,3,2,1,STX,0.1828417456408309,-0.007810775995106045,,,,,,,0.1828417456408309,-0.007810775995106045
2016-10,2016-10-03,2017-01-03,2016-10-03,104,81,3,3,1,STX,0.1828417456408309,0.048394283211322664,,,,,,,0.1828417456408309,0.048394283211322664
2016-10,2016-10-03,2016-11-01,2016-10-03,104,81,3,1,2,STX,0.1828417456408309,-0.12236404329914807,NTAP,0.14279897347831091,-0.05906707587469584,,,,0.16282035955957092,-0.09071555958692196
2016-10,2016-10-03,2016-12-01,2016-10-03,104,81,3,2,2,STX,0.1828417456408309,-0.007810775995106045,NTAP,0.14279897347831091,0.007756833827986309,,,,0.16282035955957092,-2.6971083559867992e-05
2016-10,2016-10-03,2017-01-03,2016-10-03,104,81,3,3,2,STX,0.1828417456408309,0.048394283211322664,NTAP,0.14279897347831091,0.011453329539867996,,,,0.16282035955957092,0.02992380637559533
2016-10,2016-10-03,2016-11-01,2016-10-03,104,81,3,1,3,STX,0.1828417456408309,-0.12236404329914807,NTAP,0.14279897347831091,-0.05906707587469584,NVDA,0.13832084147154586,0.008765735214084192,0.15465385353022923,-0.057555127986586574
2016-10,2016-10-03,2016-12-01,2016-10-03,104,81,3,2,3,STX,0.1828417456408309,-0.007810775995106045,NTAP,0.14279897347831091,0.007756833827986309,NVDA,0.13832084147154586,0.28226782083350344,0.15465385353022923,0.09407129288879457
2016-10,2016-10-03,2017-01-03,2016-10-03,104,81,3,3,3,STX,0.1828417456408309,0.048394283211322664,NTAP,0.14279897347831091,0.011453329539867996,NVDA,0.13832084147154586,0.49251598561250587,0.15465385353022923,0.1841211994545655
2016-11,2016-11-01,2016-12-01,2016-11-01,104,82,3,1,1,AKAM,0.11052146695166565,-0.06740088480812745,,,,,,,0.11052146695166565,-0.06740088480812745
2016-11,2016-11-01,2017-01-03,2016-11-01,104,82,3,2,1,AKAM,0.11052146695166565,-0.0077826547896073794,,,,,,,0.11052146695166565,-0.0077826547896073794
2016-11,2016-11-01,2017-02-01,2016-11-01,104,82,3,3,1,AKAM,0.11052146695166565,0.008810550478192791,,,,,,,0.11052146695166565,0.008810550478192791
2016-11,2016-11-01,2016-12-01,2016-11-01,104,82,3,1,2,AKAM,0.11052146695166565,-0.06740088480812745,NFLX,0.09573710173248018,-0.049310608710287473,,,,0.10312928434207291,-0.05835574675920746
2016-11,2016-11-01,2017-01-03,2016-11-01,104,82,3,2,2,AKAM,0.11052146695166565,-0.0077826547896073794,NFLX,0.09573710173248018,0.03398213094311964,,,,0.10312928434207291,0.013099738076756129
2016-11,2016-11-01,2017-02-01,2016-11-01,104,82,3,3,2,AKAM,0.11052146695166565,0.008810550478192791,NFLX,0.09573710173248018,0.1417680580514631,,,,0.10312928434207291,0.07528930426482794
2016-11,2016-11-01,2016-12-01,2016-11-01,104,82,3,1,3,AKAM,0.11052146695166565,-0.06740088480812745,NFLX,0.09573710173248018,-0.049310608710287473,NTAP,0.08797903573067578,0.07101878145543883,0.0980792014716072,-0.015230904020992031
2016-11,2016-11-01,2017-01-03,2016-11-01,104,82,3,2,3,AKAM,0.11052146695166565,-0.0077826547896073794,NFLX,0.09573710173248018,0.03398213094311964,NTAP,0.08797903573067578,0.0749473247310588,0.0980792014716072,0.03371560029485702
2016-11,2016-11-01,2017-02-01,2016-11-01,104,82,3,3,3,AKAM,0.11052146695166565,0.008810550478192791,NFLX,0.09573710173248018,0.1417680580514631,NTAP,0.08797903573067578,0.1560698713841555,0.0980792014716072,0.10221615997127047
2016-12,2016-12-01,2017-01-03,2016-12-01,104,82,3,1,1,NVDA,0.12127264070858512,0.16396587465038026,,,,,,,0.12127264070858512,0.16396587465038026
2016-12,2016-12-01,2017-02-01,2016-12-01,104,82,3,2,1,NVDA,0.12127264070858512,0.3002055939834589,,,,,,,0.12127264070858512,0.3002055939834589
2016-12,2016-12-01,2017-03-01,2016-12-01,104,82,3,3,1,NVDA,0.12127264070858512,0.17434633024859414,,,,,,,0.12127264070858512,0.17434633024859414
2016-12,2016-12-01,2017-01-03,2016-12-01,104,82,3,1,2,NVDA,0.12127264070858512,0.16396587465038026,WDC,0.11014486382094994,0.13501521807142058,,,,0.11570875226476754,0.14949054636090042
2016-12,2016-12-01,2017-02-01,2016-12-01,104,82,3,2,2,NVDA,0.12127264070858512,0.3002055939834589,WDC,0.11014486382094994,0.29407759764088914,,,,0.11570875226476754,0.29714159581217403
2016-12,2016-12-01,2017-03-01,2016-12-01,104,82,3,3,2,NVDA,0.12127264070858512,0.17434633024859414,WDC,0.11014486382094994,0.2803455337536658,,,,0.11570875226476754,0.22734593200112996
2016-12,2016-12-01,2017-01-03,2016-12-01,104,82,3,1,3,NVDA,0.12127264070858512,0.16396587465038026,WDC,0.11014486382094994,0.13501521807142058,CSX,0.09652891712169653,-0.019934420504798323,0.10931547388374387,0.09301555740566751
2016-12,2016-12-01,2017-02-01,2016-12-01,104,82,3,2,3,NVDA,0.12127264070858512,0.3002055939834589,WDC,0.11014486382094994,0.29407759764088914,CSX,0.09652891712169653,0.28590965434611504,0.10931547388374387,0.2933976153234877
2016-12,2016-12-01,2017-03-01,2016-12-01,104,82,3,3,3,NVDA,0.12127264070858512,0.17434633024859414,WDC,0.11014486382094994,0.2803455337536658,CSX,0.09652891712169653,0.34886902797063346,0.10931547388374387,0.2678536306576311
2017-01,2017-01-03,2017-02-01,2017-01-03,104,83,3,1,1,NVDA,0.14795236046356366,0.11704786394532474,,,,,,,0.14795236046356366,0.11704786394532474
2017-01,2017-01-03,2017-03-01,2017-01-03,104,83,3,2,1,NVDA,0.14795236046356366,0.008918178637609797,,,,,,,0.14795236046356366,0.008918178637609797
2017-01,2017-01-03,2017-04-03,2017-01-03,104,83,3,3,1,NVDA,0.14795236046356366,0.0637860336472722,,,,,,,0.14795236046356366,0.0637860336472722
2017-01,2017-01-03,2017-02-01,2017-01-03,104,83,3,1,2,NVDA,0.14795236046356366,0.11704786394532474,MU,0.08875877645027186,0.09756105599026155,,,,0.11835556845691776,0.10730445996779314
2017-01,2017-01-03,2017-03-01,2017-01-03,104,83,3,2,2,NVDA,0.14795236046356366,0.008918178637609797,MU,0.08875877645027186,0.08869146698723007,,,,0.11835556845691776,0.048804822812419935
2017-01,2017-01-03,2017-04-03,2017-01-03,104,83,3,3,2,NVDA,0.14795236046356366,0.0637860336472722,MU,0.08875877645027186,0.27006658761272107,,,,0.11835556845691776,0.16692631062999663
2017-01,2017-01-03,2017-02-01,2017-01-03,104,83,3,1,3,NVDA,0.14795236046356366,0.11704786394532474,MU,0.08875877645027186,0.09756105599026155,AKAM,0.0881487950459453,0.01672335738525277,0.1082866439865936,0.07711075910694636
2017-01,2017-01-03,2017-03-01,2017-01-03,104,83,3,2,3,NVDA,0.14795236046356366,0.008918178637609797,MU,0.08875877645027186,0.08869146698723007,AKAM,0.0881487950459453,-0.06200974760445255,0.1082866439865936,0.01186663267346244
2017-01,2017-01-03,2017-04-03,2017-01-03,104,83,3,3,3,NVDA,0.14795236046356366,0.0637860336472722,MU,0.08875877645027186,0.27006658761272107,AKAM,0.0881487950459453,-0.14015097326437498,0.1082866439865936,0.06456721599853943
2017-02,2017-02-01,2017-03-01,2017-02-01,104,83,3,1,1,NVDA,0.18404640337397718,-0.09679950949085514,,,,,,,0.18404640337397718,-0.09679950949085514
2017-02,2017-02-01,2017-04-03,2017-02-01,104,83,3,2,1,NVDA,0.18404640337397718,-0.047680884604117124,,,,,,,0.18404640337397718,-0.047680884604117124
2017-02,2017-02-01,2017-05-01,2017-02-01,104,83,3,3,1,NVDA,0.18404640337397718,-0.06296999612451482,,,,,,,0.18404640337397718,-0.06296999612451482
2017-02,2017-02-01,2017-03-01,2017-02-01,104,83,3,1,2,NVDA,0.18404640337397718,-0.09679950949085514,CSX,0.1675103745971396,0.048960961924291,,,,0.1757783889855584,-0.02391927378328207
